title,performers,lyricist,composer,album,release_date,genre,language,duration_ms,audio_path
Baby,Justin Bieber、Ludacris,,,,,流行,中文,0,media/Baby - Justin Bieber、Ludacris.mp3
Befall,尚雯婕,,,,2017-04-13,流行,中文,0,media/Befall - 尚雯婕.mp3
Cyberangel,hanser,,,,2019-07-04,Pop,英语,0,media/Cyberangel - hanser.mp3
Da Capo,HOYO-MiX,,,,,游戏音乐,英语,0,media/Da Capo - HOYO-MiX.mp3
Love Story,Taylor Swift,,,,,Pop,英语,0,media/Love Story - Taylor Swift.mp3
Love Yourself,Justin Bieber,,,,,Pop,英语,0,media/Love Yourself - Justin Bieber.mp3
Moon Halo,茶理理理子、TetraCalyx、hanser,,,,2021-07-09,流行,中文,0,media/Moon Halo - 茶理理理子、TetraCalyx、hanser.mp3
New Boy,房东的猫,,,,,流行,中文,0,media/New Boy - 房东的猫.mp3
only my railgun,fripSide,,,,2011-06-29,J-Pop,日语,0,media/only my railgun - fripSide.mp3
Oops,Little Mix、Charlie Puth,,,,,流行,中文,0,media/Oops - Little Mix、Charlie Puth.mp3
Red,Tyler Ward,,,,,Pop,英语,0,media/Red - Tyler Ward.mp3
Regression,阿云嘎、HOYO-MiX,,,,,游戏音乐,中文,0,media/Regression - 阿云嘎、HOYO-MiX.mp3
ReOracle,黄霄雲、HOYO-MiX,,,,2022-02-17,游戏音乐,中文,0,media/ReOracle - 黄霄雲、HOYO-MiX.mp3
Rex Incognito 尘世闲游,HOYO-MiX、陈致逸,,,,,游戏音乐,中文,0,media/Rex Incognito 尘世闲游 - HOYO-MiX、陈致逸.mp3
Rubia,周深、HOYO-MiX,,,,2021-01-29,游戏音乐,中文,0,media/Rubia - 周深、HOYO-MiX.mp3
Starfall,袁娅维TIA RAY,,,,,流行,中文,0,media/Starfall - 袁娅维TIA RAY.mp3
STAY (Clean),The Kid LAROI、Justin Bieber,,,,,流行,中文,0,media/STAY (Clean) - The Kid LAROI、Justin Bieber.mp3
TruE,黄龄、HOYO-MiX,,,,,游戏音乐,中文,0,media/TruE - 黄龄、HOYO-MiX.mp3
